sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"MYADM","Approved symbol","MYADM","myeloid associated differentiation marker","HGNC:7544","19q13.42"
"CXCL8","Approved symbol","CXCL8","C-X-C motif chemokine ligand 8","HGNC:6025","4q13.3"
"PLD1","Approved symbol","PLD1","phospholipase D1","HGNC:9067","3q26.31"
"NOS3","Approved symbol","NOS3","nitric oxide synthase 3","HGNC:7876","7q36.1"
"SP1","Approved symbol","SP1","Sp1 transcription factor","HGNC:11205","12q13.13"
"SPATA7","Approved symbol","SPATA7","spermatogenesis associated 7","HGNC:20423","14q31.3"
"AP3M1","Approved symbol","AP3M1","adaptor related protein complex 3 subunit mu 1","HGNC:569","10q22.2"
"CAMK2D","Approved symbol","CAMK2D","calcium/calmodulin dependent protein kinase II delta","HGNC:1462","4q26"
"NONO","Approved symbol","NONO","non-POU domain containing octamer binding","HGNC:7871","Xq13.1"
"TIMELESS","Approved symbol","TIMELESS","timeless circadian regulator","HGNC:11813","12q13.3"
"RPS6KA6","Approved symbol","RPS6KA6","ribosomal protein S6 kinase A6","HGNC:10435","Xq21.1"
"TEKT2","Approved symbol","TEKT2","tektin 2","HGNC:11725","1p34.3"
"EIF4B","Approved symbol","EIF4B","eukaryotic translation initiation factor 4B","HGNC:3285","12q13.13"
"IL3","Approved symbol","IL3","interleukin 3","HGNC:6011","5q31.1"
"MBP","Approved symbol","MBP","myelin basic protein","HGNC:6925","18q23"
"PSEN2","Approved symbol","PSEN2","presenilin 2","HGNC:9509","1q42.13"
"CAND1","Approved symbol","CAND1","cullin associated and neddylation dissociated 1","HGNC:30688","12q14.3-q15"
"NPHP4","Approved symbol","NPHP4","nephrocystin 4","HGNC:19104","1p36.31"
"ZNF346","Approved symbol","ZNF346","zinc finger protein 346","HGNC:16403","5q35.2"
"USP2","Approved symbol","USP2","ubiquitin specific peptidase 2","HGNC:12618","11q23.3"
"MECP2","Approved symbol","MECP2","methyl-CpG binding protein 2","HGNC:6990","Xq28"
"TUBB2A","Approved symbol","TUBB2A","tubulin beta 2A class IIa","HGNC:12412","6p25.2"
"KRT73","Approved symbol","KRT73","keratin 73","HGNC:28928","12q13.13"
"USP34","Approved symbol","USP34","ubiquitin specific peptidase 34","HGNC:20066","2p15"
"TMEM63B","Approved symbol","TMEM63B","transmembrane protein 63B","HGNC:17735","6p21.1"
"GLI1","Approved symbol","GLI1","GLI family zinc finger 1","HGNC:4317","12q13.3"
"NEDD9","Approved symbol","NEDD9","neural precursor cell expressed, developmentally down-regulated 9","HGNC:7733","6p24.2"
"ARIH2","Approved symbol","ARIH2","ariadne RBR E3 ubiquitin protein ligase 2","HGNC:690","3p21.31"
"CXCR3","Approved symbol","CXCR3","C-X-C motif chemokine receptor 3","HGNC:4540","Xq13.1"
"COL8A2","Approved symbol","COL8A2","collagen type VIII alpha 2 chain","HGNC:2216","1p34.3"
"BTF3","Approved symbol","BTF3","basic transcription factor 3","HGNC:1125","5q13.2"
"EPAS1","Approved symbol","EPAS1","endothelial PAS domain protein 1","HGNC:3374","2p21"
"ATG5","Approved symbol","ATG5","autophagy related 5","HGNC:589","6q21"
"SPR","Approved symbol","SPR","sepiapterin reductase","HGNC:11257","2p13.2"
"ATP1A3","Approved symbol","ATP1A3","ATPase Na+/K+ transporting subunit alpha 3","HGNC:801","19q13.2"
"RAVER1","Approved symbol","RAVER1","ribonucleoprotein, PTB binding 1","HGNC:30296","19p13.2"
"DPP6","Approved symbol","DPP6","dipeptidyl peptidase like 6","HGNC:3010","7q36.2"
"NCKAP1","Approved symbol","NCKAP1","NCK associated protein 1","HGNC:7666","2q32.1"
"PSMA4","Approved symbol","PSMA4","proteasome 20S subunit alpha 4","HGNC:9533","15q25.1"
"EXOC1","Approved symbol","EXOC1","exocyst complex component 1","HGNC:30380","4q12"
"BNIP3","Approved symbol","BNIP3","BCL2 interacting protein 3","HGNC:1084","10q26.3"
"PRDX2","Approved symbol","PRDX2","peroxiredoxin 2","HGNC:9353","19p13.13"
"PRKD2","Approved symbol","PRKD2","protein kinase D2","HGNC:17293","19q13.2"
"TTR","Approved symbol","TTR","transthyretin","HGNC:12405","18q12.1"
"SNRPD3","Approved symbol","SNRPD3","small nuclear ribonucleoprotein D3 polypeptide","HGNC:11160","22q11.23"
"TRAPPC12","Approved symbol","TRAPPC12","trafficking protein particle complex 12","HGNC:24284","2p25.3"
"AXL","Approved symbol","AXL","AXL receptor tyrosine kinase","HGNC:905","19q13.2"
"PCDHGB1","Approved symbol","PCDHGB1","protocadherin gamma subfamily B, 1","HGNC:8708","5q31"
"TNC","Approved symbol","TNC","tenascin C","HGNC:5318","9q33.1"
"BIRC3","Approved symbol","BIRC3","baculoviral IAP repeat containing 3","HGNC:591","11q22.2"
"NCR1","Approved symbol","NCR1","natural cytotoxicity triggering receptor 1","HGNC:6731","19q13.42"
"BIN2","Approved symbol","BIN2","bridging integrator 2","HGNC:1053","12q13.13"
"SYT17","Approved symbol","SYT17","synaptotagmin 17","HGNC:24119","16p12.3"
"MPP5","Approved symbol","MPP5","membrane palmitoylated protein 5","HGNC:18669","14q23.3"
"RPS11","Approved symbol","RPS11","ribosomal protein S11","HGNC:10384","19q13.3"
"DDX3X","Approved symbol","DDX3X","DEAD-box helicase 3 X-linked","HGNC:2745","Xp11.4"
"CNOT9","Approved symbol","CNOT9","CCR4-NOT transcription complex subunit 9","HGNC:10445","2q35"
"TSTD2","Approved symbol","TSTD2","thiosulfate sulfurtransferase like domain containing 2","HGNC:30087","9q22.33"
"USP29","Approved symbol","USP29","ubiquitin specific peptidase 29","HGNC:18563","19q13.43"
"GNAZ","Approved symbol","GNAZ","G protein subunit alpha z","HGNC:4395","22q11.22-q11.23"
"BCL9L","Approved symbol","BCL9L","BCL9 like","HGNC:23688","11q23.3"
"SLCO3A1","Approved symbol","SLCO3A1","solute carrier organic anion transporter family member 3A1","HGNC:10952","15q26.1"
"EFHC2","Approved symbol","EFHC2","EF-hand domain containing 2","HGNC:26233","Xp11.3"
"HK2","Approved symbol","HK2","hexokinase 2","HGNC:4923","2p12"
"GLIS2","Approved symbol","GLIS2","GLIS family zinc finger 2","HGNC:29450","16p13.3"
"IRF3","Approved symbol","IRF3","interferon regulatory factor 3","HGNC:6118","19q13.33"
"WWC2","Approved symbol","WWC2","WW and C2 domain containing 2","HGNC:24148","4q35.1"
"PPM1G","Approved symbol","PPM1G","protein phosphatase, Mg2+/Mn2+ dependent 1G","HGNC:9278","2p23.3"
"CBX5","Approved symbol","CBX5","chromobox 5","HGNC:1555","12q13.13"
"CDC5L","Approved symbol","CDC5L","cell division cycle 5 like","HGNC:1743","6p21.1"
"MYCN","Approved symbol","MYCN","MYCN proto-oncogene, bHLH transcription factor","HGNC:7559","2p24.3"
"TCOF1","Approved symbol","TCOF1","treacle ribosome biogenesis factor 1","HGNC:11654","5q32-q33.1"
"AKAP6","Approved symbol","AKAP6","A-kinase anchoring protein 6","HGNC:376","14q12"
"MYC","Approved symbol","MYC","MYC proto-oncogene, bHLH transcription factor","HGNC:7553","8q24.21"
"PRPF31","Approved symbol","PRPF31","pre-mRNA processing factor 31","HGNC:15446","19q13.42"
"POLA2","Approved symbol","POLA2","DNA polymerase alpha 2, accessory subunit","HGNC:30073","11q13.1"
"MIR18A","Approved symbol","MIR18A","microRNA 18a","HGNC:31548","13q31.3"
"NDUFV2","Approved symbol","NDUFV2","NADH:ubiquinone oxidoreductase core subunit V2","HGNC:7717","18p11.22"
"TYMS","Approved symbol","TYMS","thymidylate synthetase","HGNC:12441","18p11.32"
"ZNF598","Approved symbol","ZNF598","zinc finger protein 598","HGNC:28079","16p13.3"
"ZNF136","Approved symbol","ZNF136","zinc finger protein 136","HGNC:12920","19p13.2"
"ELF3","Approved symbol","ELF3","E74 like ETS transcription factor 3","HGNC:3318","1q32.1"
"FBXO7","Approved symbol","FBXO7","F-box protein 7","HGNC:13586","22q12.3"
"HEATR1","Approved symbol","HEATR1","HEAT repeat containing 1","HGNC:25517","1q43"
"MIR19B2","Approved symbol","MIR19B2","microRNA 19b-2","HGNC:31576","Xq26.2"
"BBC3","Approved symbol","BBC3","BCL2 binding component 3","HGNC:17868","19q13.32"
"GALE","Approved symbol","GALE","UDP-galactose-4-epimerase","HGNC:4116","1p36.11"
"AGT","Approved symbol","AGT","angiotensinogen","HGNC:333","1q42.2"
"MRPS23","Approved symbol","MRPS23","mitochondrial ribosomal protein S23","HGNC:14509","17q22"
"C2CD6","Approved symbol","C2CD6","C2 calcium dependent domain containing 6","HGNC:14438","2q33.1"
"LACRT","Approved symbol","LACRT","lacritin","HGNC:16430","12q13.2"
"BAG1","Approved symbol","BAG1","BAG cochaperone 1","HGNC:937","9p13.3"
"FA2H","Approved symbol","FA2H","fatty acid 2-hydroxylase","HGNC:21197","16q23.1"
"ELOC","Approved symbol","ELOC","elongin C","HGNC:11617","8q21.11"
"TEP1","Approved symbol","TEP1","telomerase associated protein 1","HGNC:11726","14q11.2"
"IPO9","Approved symbol","IPO9","importin 9","HGNC:19425","1q32.1"
"TBL1X","Approved symbol","TBL1X","transducin beta like 1 X-linked","HGNC:11585","Xp22.31-p22.2"
"EGLN2","Approved symbol","EGLN2","egl-9 family hypoxia inducible factor 2","HGNC:14660","19q13.2"
"PDHX","Approved symbol","PDHX","pyruvate dehydrogenase complex component X","HGNC:21350","11p13"
"TUBG1","Approved symbol","TUBG1","tubulin gamma 1","HGNC:12417","17q21.31"
"CCL5","Approved symbol","CCL5","C-C motif chemokine ligand 5","HGNC:10632","17q12"
"KBTBD8","Approved symbol","KBTBD8","kelch repeat and BTB domain containing 8","HGNC:30691","3p14.1"
"CDC14A","Approved symbol","CDC14A","cell division cycle 14A","HGNC:1718","1p21.2"
"RBL1","Approved symbol","RBL1","RB transcriptional corepressor like 1","HGNC:9893","20q11.23"
"PLTP","Approved symbol","PLTP","phospholipid transfer protein","HGNC:9093","20q13.12"
"UMOD","Approved symbol","UMOD","uromodulin","HGNC:12559","16p12.3"
"PBK","Approved symbol","PBK","PDZ binding kinase","HGNC:18282","8p21.1"
"RAB4A","Approved symbol","RAB4A","RAB4A, member RAS oncogene family","HGNC:9781","1q42.13"
"IRAK1","Approved symbol","IRAK1","interleukin 1 receptor associated kinase 1","HGNC:6112","Xq28"
"CIP2A","Approved symbol","CIP2A","cellular inhibitor of PP2A","HGNC:29302","3q13.13"
"AGO3","Approved symbol","AGO3","argonaute RISC catalytic component 3","HGNC:18421","1p34.3"
"SMAD5","Approved symbol","SMAD5","SMAD family member 5","HGNC:6771","5q31.1"
"RHOT2","Approved symbol","RHOT2","ras homolog family member T2","HGNC:21169","16p13.3"
"ANGPT2","Approved symbol","ANGPT2","angiopoietin 2","HGNC:485","8p23.1"
"PIP4K2A","Approved symbol","PIP4K2A","phosphatidylinositol-5-phosphate 4-kinase type 2 alpha","HGNC:8997","10p12.2"
"AKAP17A","Approved symbol","AKAP17A","A-kinase anchoring protein 17A","HGNC:18783","Xp22.33 and Yp11.32"
"PTPRC","Approved symbol","PTPRC","protein tyrosine phosphatase receptor type C","HGNC:9666","1q31.3-q32.1"
"FKBP1B","Approved symbol","FKBP1B","FKBP prolyl isomerase 1B","HGNC:3712","2p23.3"
"CTSB","Approved symbol","CTSB","cathepsin B","HGNC:2527","8p23.1"
"DPP4","Approved symbol","DPP4","dipeptidyl peptidase 4","HGNC:3009","2q24.2"
"HERC2","Approved symbol","HERC2","HECT and RLD domain containing E3 ubiquitin protein ligase 2","HGNC:4868","15q13.1"
"TFDP1","Approved symbol","TFDP1","transcription factor Dp-1","HGNC:11749","13q34"
"TRPC4AP","Approved symbol","TRPC4AP","transient receptor potential cation channel subfamily C member 4 associated protein","HGNC:16181","20q11.22"
"SF3B1","Approved symbol","SF3B1","splicing factor 3b subunit 1","HGNC:10768","2q33.1"
"PTPN22","Approved symbol","PTPN22","protein tyrosine phosphatase non-receptor type 22","HGNC:9652","1p13.2"
"DNAJC10","Approved symbol","DNAJC10","DnaJ heat shock protein family (Hsp40) member C10","HGNC:24637","2q32.1"
"ANGPTL4","Approved symbol","ANGPTL4","angiopoietin like 4","HGNC:16039","19p13.2"
"CNOT8","Approved symbol","CNOT8","CCR4-NOT transcription complex subunit 8","HGNC:9207","5q33.2"
"KIF26B","Approved symbol","KIF26B","kinesin family member 26B","HGNC:25484","1q44"
"IRS4","Approved symbol","IRS4","insulin receptor substrate 4","HGNC:6128","Xq22.3"
"EIPR1","Approved symbol","EIPR1","EARP complex and GARP complex interacting protein 1","HGNC:12383","2p25.3"
"IKBKB","Approved symbol","IKBKB","inhibitor of nuclear factor kappa B kinase subunit beta","HGNC:5960","8p11.21"
"THRB","Approved symbol","THRB","thyroid hormone receptor beta","HGNC:11799","3p24.2"
"MAP2K5","Approved symbol","MAP2K5","mitogen-activated protein kinase kinase 5","HGNC:6845","15q23"
"MIA","Approved symbol","MIA","MIA SH3 domain containing","HGNC:7076","19q13.2"
"ATF3","Approved symbol","ATF3","activating transcription factor 3","HGNC:785","1q32.3"
"BRF1","Approved symbol","BRF1","BRF1 RNA polymerase III transcription initiation factor subunit","HGNC:11551","14q32.33"
"TSTA3","Approved symbol","TSTA3","tissue specific transplantation antigen P35B","HGNC:12390","8q24.3"
"PRKACG","Approved symbol","PRKACG","protein kinase cAMP-activated catalytic subunit gamma","HGNC:9382","9q21.11"
"FAM83C","Approved symbol","FAM83C","family with sequence similarity 83 member C","HGNC:16121","20q11.22"
"CD1E","Approved symbol","CD1E","CD1e molecule","HGNC:1638","1q23.1"
"E2F4","Approved symbol","E2F4","E2F transcription factor 4","HGNC:3118","16q22.1"
"MAP3K10","Approved symbol","MAP3K10","mitogen-activated protein kinase kinase kinase 10","HGNC:6849","19q13.2"
"KRR1","Approved symbol","KRR1","KRR1 small subunit processome component homolog","HGNC:5176","12q21.2"
"MYL6B","Approved symbol","MYL6B","myosin light chain 6B","HGNC:29823","12q13.2"
"ANXA3","Approved symbol","ANXA3","annexin A3","HGNC:541","4q21.21"
"TRIM39","Approved symbol","TRIM39","tripartite motif containing 39","HGNC:10065","6p22.1"
"GSTM3","Approved symbol","GSTM3","glutathione S-transferase mu 3","HGNC:4635","1p13.3"
"AKT2","Approved symbol","AKT2","AKT serine/threonine kinase 2","HGNC:392","19q13.2"
"STXBP3","Approved symbol","STXBP3","syntaxin binding protein 3","HGNC:11446","1p13.3"
"DGUOK","Approved symbol","DGUOK","deoxyguanosine kinase","HGNC:2858","2p13.1"
"SP3","Approved symbol","SP3","Sp3 transcription factor","HGNC:11208","2q31.1"
"PARVB","Approved symbol","PARVB","parvin beta","HGNC:14653","22q13.31"
"TREX2","Approved symbol","TREX2","three prime repair exonuclease 2","HGNC:12270","Xq28"
"MEPCE","Approved symbol","MEPCE","methylphosphate capping enzyme","HGNC:20247","7q22.1"
"PCDHA4","Approved symbol","PCDHA4","protocadherin alpha 4","HGNC:8670","5q31.3"
"ACTR3","Approved symbol","ACTR3","actin related protein 3","HGNC:170","2q14.1"
"PPAT","Approved symbol","PPAT","phosphoribosyl pyrophosphate amidotransferase","HGNC:9238","4q12"
"ESR2","Approved symbol","ESR2","estrogen receptor 2","HGNC:3468","14q23.2-q23.3"
"MRPL42","Approved symbol","MRPL42","mitochondrial ribosomal protein L42","HGNC:14493","12q22"
"AP1M2","Approved symbol","AP1M2","adaptor related protein complex 1 subunit mu 2","HGNC:558","19p13.2"
"GRB7","Approved symbol","GRB7","growth factor receptor bound protein 7","HGNC:4567","17q12"
"FKBP3","Approved symbol","FKBP3","FKBP prolyl isomerase 3","HGNC:3719","14q21.2"
"PRKACB","Approved symbol","PRKACB","protein kinase cAMP-activated catalytic subunit beta","HGNC:9381","1p31.1"
"KAT6A","Approved symbol","KAT6A","lysine acetyltransferase 6A","HGNC:13013","8p11.21"
"APBB1","Approved symbol","APBB1","amyloid beta precursor protein binding family B member 1","HGNC:581","11p15.4"
"SERPINB8","Approved symbol","SERPINB8","serpin family B member 8","HGNC:8952","18q22.1"
"MUL1","Approved symbol","MUL1","mitochondrial E3 ubiquitin protein ligase 1","HGNC:25762","1p36.12"
"ORAI2","Approved symbol","ORAI2","ORAI calcium release-activated calcium modulator 2","HGNC:21667","7q22.1"
"HDAC7","Approved symbol","HDAC7","histone deacetylase 7","HGNC:14067","12q13.11"
"AGTR1","Approved symbol","AGTR1","angiotensin II receptor type 1","HGNC:336","3q24"
"SAMD7","Approved symbol","SAMD7","sterile alpha motif domain containing 7","HGNC:25394","3q26.2"
"TPM4","Approved symbol","TPM4","tropomyosin 4","HGNC:12013","19p13.12-p13.11"
"ARHGAP1","Approved symbol","ARHGAP1","Rho GTPase activating protein 1","HGNC:673","11p11.2"
"ATAD3A","Approved symbol","ATAD3A","ATPase family AAA domain containing 3A","HGNC:25567","1p36.33"
"YEATS4","Approved symbol","YEATS4","YEATS domain containing 4","HGNC:24859","12q15"
"CEP170","Approved symbol","CEP170","centrosomal protein 170","HGNC:28920","1q43"
"SAA2","Approved symbol","SAA2","serum amyloid A2","HGNC:10514","11p15.1"
"TGFBR2","Approved symbol","TGFBR2","transforming growth factor beta receptor 2","HGNC:11773","3p24.1"
"ZNF326","Approved symbol","ZNF326","zinc finger protein 326","HGNC:14104","1p22.2"
"GPD1L","Approved symbol","GPD1L","glycerol-3-phosphate dehydrogenase 1 like","HGNC:28956","3p22.3"
"GIT1","Approved symbol","GIT1","GIT ArfGAP 1","HGNC:4272","17q11.2"
"XRRA1","Approved symbol","XRRA1","X-ray radiation resistance associated 1","HGNC:18868","11q13.4"
"SPATC1L","Approved symbol","SPATC1L","spermatogenesis and centriole associated 1 like","HGNC:1298","21q22.3"
"DEPDC1","Approved symbol","DEPDC1","DEP domain containing 1","HGNC:22949","1p31.3"
"BUB1","Approved symbol","BUB1","BUB1 mitotic checkpoint serine/threonine kinase","HGNC:1148","2q13"
"HNRNPC","Approved symbol","HNRNPC","heterogeneous nuclear ribonucleoprotein C","HGNC:5035","14q11.2"
"ZNF358","Approved symbol","ZNF358","zinc finger protein 358","HGNC:16838","19p13.2"
"RPL38","Approved symbol","RPL38","ribosomal protein L38","HGNC:10349","17q25.1"
"ZEB2","Approved symbol","ZEB2","zinc finger E-box binding homeobox 2","HGNC:14881","2q22.3"
"DGCR8","Approved symbol","DGCR8","DGCR8 microprocessor complex subunit","HGNC:2847","22q11.21"
"TP53","Approved symbol","TP53","tumor protein p53","HGNC:11998","17p13.1"
"DGAT1","Approved symbol","DGAT1","diacylglycerol O-acyltransferase 1","HGNC:2843","8q24.3"
"CREBBP","Approved symbol","CREBBP","CREB binding protein","HGNC:2348","16p13.3"
"LAMB3","Approved symbol","LAMB3","laminin subunit beta 3","HGNC:6490","1q32.2"
"SCARA3","Approved symbol","SCARA3","scavenger receptor class A member 3","HGNC:19000","8p21.1"
"BRD7","Approved symbol","BRD7","bromodomain containing 7","HGNC:14310","16q12.1"
"NR2C2","Approved symbol","NR2C2","nuclear receptor subfamily 2 group C member 2","HGNC:7972","3p25.1"
"S100A11","Approved symbol","S100A11","S100 calcium binding protein A11","HGNC:10488","1q21.3"
"PRPF4","Approved symbol","PRPF4","pre-mRNA processing factor 4","HGNC:17349","9q32"
"RAB10","Approved symbol","RAB10","RAB10, member RAS oncogene family","HGNC:9759","2p23.3"
"ESR1","Approved symbol","ESR1","estrogen receptor 1","HGNC:3467","6q25.1-q25.2"
"SMARCA5","Approved symbol","SMARCA5","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5","HGNC:11101","4q31.21"
"LAMP1","Approved symbol","LAMP1","lysosomal associated membrane protein 1","HGNC:6499","13q34"
"DENND1A","Approved symbol","DENND1A","DENN domain containing 1A","HGNC:29324","9q33.3"
"PRKAR1A","Approved symbol","PRKAR1A","protein kinase cAMP-dependent type I regulatory subunit alpha","HGNC:9388","17q24.2"
"CDK15","Approved symbol","CDK15","cyclin dependent kinase 15","HGNC:14434","2q33.1"
"KDM1B","Approved symbol","KDM1B","lysine demethylase 1B","HGNC:21577","6p22.3"
"UPF1","Approved symbol","UPF1","UPF1 RNA helicase and ATPase","HGNC:9962","19p13.11"
"PDGFRB","Approved symbol","PDGFRB","platelet derived growth factor receptor beta","HGNC:8804","5q32"
"SLC45A2","Approved symbol","SLC45A2","solute carrier family 45 member 2","HGNC:16472","5p13.2"
"PNMA1","Approved symbol","PNMA1","PNMA family member 1","HGNC:9158","14q24.3"
"FRMD5","Approved symbol","FRMD5","FERM domain containing 5","HGNC:28214","15q15.3"
"BMF","Approved symbol","BMF","Bcl2 modifying factor","HGNC:24132","15q15.1"
"LYZ","Approved symbol","LYZ","lysozyme","HGNC:6740","12q15"
"FAM20B","Approved symbol","FAM20B","FAM20B glycosaminoglycan xylosylkinase","HGNC:23017","1q25.2"
"DKK2","Approved symbol","DKK2","dickkopf WNT signaling pathway inhibitor 2","HGNC:2892","4q25"
"CBWD1","Approved symbol","CBWD1","COBW domain containing 1","HGNC:17134","9p24.3"
"NOL6","Approved symbol","NOL6","nucleolar protein 6","HGNC:19910","9p13.3"
"E2F1","Approved symbol","E2F1","E2F transcription factor 1","HGNC:3113","20q11.22"
"CDC20","Approved symbol","CDC20","cell division cycle 20","HGNC:1723","1p34.2"
"XPO7","Approved symbol","XPO7","exportin 7","HGNC:14108","8p21.3"
"CCL3","Approved symbol","CCL3","C-C motif chemokine ligand 3","HGNC:10627","17q12"
"FKBP9","Approved symbol","FKBP9","FKBP prolyl isomerase 9","HGNC:3725","7p14.3"
"PON2","Approved symbol","PON2","paraoxonase 2","HGNC:9205","7q21.3"
"MRPL13","Approved symbol","MRPL13","mitochondrial ribosomal protein L13","HGNC:14278","8q24.12"
"BCORL1","Approved symbol","BCORL1","BCL6 corepressor like 1","HGNC:25657","Xq26.1"
"EVA1C","Approved symbol","EVA1C","eva-1 homolog C","HGNC:13239","21q22.11"
"HIF1AN","Approved symbol","HIF1AN","hypoxia inducible factor 1 subunit alpha inhibitor","HGNC:17113","10q24.31"
"TRIAP1","Approved symbol","TRIAP1","TP53 regulated inhibitor of apoptosis 1","HGNC:26937","12q24.31"
"ACADSB","Approved symbol","ACADSB","acyl-CoA dehydrogenase short/branched chain","HGNC:91","10q26.13"
"ST13","Approved symbol","ST13","ST13 Hsp70 interacting protein","HGNC:11343","22q13.2"
"CETN2","Approved symbol","CETN2","centrin 2","HGNC:1867","Xq28"
"HMMR","Approved symbol","HMMR","hyaluronan mediated motility receptor","HGNC:5012","5q34"
"RPL4","Approved symbol","RPL4","ribosomal protein L4","HGNC:10353","15q22.31"
"AASDHPPT","Approved symbol","AASDHPPT","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase","HGNC:14235","11q22.3"
"LUC7L2","Approved symbol","LUC7L2","LUC7 like 2, pre-mRNA splicing factor","HGNC:21608","7q34"
"KRT14","Approved symbol","KRT14","keratin 14","HGNC:6416","17q21.2"
"CLCN5","Approved symbol","CLCN5","chloride voltage-gated channel 5","HGNC:2023","Xp11.23"
"MDH1","Approved symbol","MDH1","malate dehydrogenase 1","HGNC:6970","2p15"
"SEC24C","Approved symbol","SEC24C","SEC24 homolog C, COPII coat complex component","HGNC:10705","10q22.2"
"PTPN13","Approved symbol","PTPN13","protein tyrosine phosphatase non-receptor type 13","HGNC:9646","4q21.3"
"PRDX1","Approved symbol","PRDX1","peroxiredoxin 1","HGNC:9352","1p34.1"
"ANG","Approved symbol","ANG","angiogenin","HGNC:483","14q11.2"
"DDX60","Approved symbol","DDX60","DExD/H-box helicase 60","HGNC:25942","4q32.3"
"ADORA2A","Approved symbol","ADORA2A","adenosine A2a receptor","HGNC:263","22q11.23"
"PLCE1","Approved symbol","PLCE1","phospholipase C epsilon 1","HGNC:17175","10q23.33"
"PIANP","Approved symbol","PIANP","PILR alpha associated neural protein","HGNC:25338","12p13.31"
"SOX6","Approved symbol","SOX6","SRY-box transcription factor 6","HGNC:16421","11p15.2"
"ZBTB49","Approved symbol","ZBTB49","zinc finger and BTB domain containing 49","HGNC:19883","4p16.3"
"ULK2","Approved symbol","ULK2","unc-51 like autophagy activating kinase 2","HGNC:13480","17p11.2"
"ARF4","Approved symbol","ARF4","ADP ribosylation factor 4","HGNC:655","3p14.3"
"KIF13B","Approved symbol","KIF13B","kinesin family member 13B","HGNC:14405","8p12"
"LIN7C","Approved symbol","LIN7C","lin-7 homolog C, crumbs cell polarity complex component","HGNC:17789","11p14.1"
"SSR1","Approved symbol","SSR1","signal sequence receptor subunit 1","HGNC:11323","6p24.3"
"FRAT1","Approved symbol","FRAT1","FRAT regulator of WNT signaling pathway 1","HGNC:3944","10q24.1"
"RBM15","Approved symbol","RBM15","RNA binding motif protein 15","HGNC:14959","1p13.3"
"MUC16","Approved symbol","MUC16","mucin 16, cell surface associated","HGNC:15582","19p13.2"
"CCNT1","Approved symbol","CCNT1","cyclin T1","HGNC:1599","12q13.11-q13.12"
"DDX50","Approved symbol","DDX50","DExD-box helicase 50","HGNC:17906","10q22.1"
"CEP290","Approved symbol","CEP290","centrosomal protein 290","HGNC:29021","12q21.32"
"NRF1","Approved symbol","NRF1","nuclear respiratory factor 1","HGNC:7996","7q32.2"
"RPS26","Approved symbol","RPS26","ribosomal protein S26","HGNC:10414","12q13.2"
"CSRP1","Approved symbol","CSRP1","cysteine and glycine rich protein 1","HGNC:2469","1q32.1"
"TICAM2","Approved symbol","TICAM2","toll like receptor adaptor molecule 2","HGNC:21354","5q22.3"
"IKBIP","Approved symbol","IKBIP","IKBKB interacting protein","HGNC:26430","12q23.1"
"VEGFA","Approved symbol","VEGFA","vascular endothelial growth factor A","HGNC:12680","6p21.1"
"MT-CO2","Approved symbol","MT-CO2","mitochondrially encoded cytochrome c oxidase II","HGNC:7421","mitochondria"
"MEOX2","Approved symbol","MEOX2","mesenchyme homeobox 2","HGNC:7014","7p21.2"
"NDUFS4","Approved symbol","NDUFS4","NADH:ubiquinone oxidoreductase subunit S4","HGNC:7711","5q11.2"
"GSTT1","Approved symbol","GSTT1","glutathione S-transferase theta 1","HGNC:4641","22q11.23 alternate reference locus"
"IFIT3","Approved symbol","IFIT3","interferon induced protein with tetratricopeptide repeats 3","HGNC:5411","10q23.31"
"DDX17","Approved symbol","DDX17","DEAD-box helicase 17","HGNC:2740","22q13.1"
"ZNF679","Approved symbol","ZNF679","zinc finger protein 679","HGNC:28650","7q11.21"
"NLRP2","Approved symbol","NLRP2","NLR family pyrin domain containing 2","HGNC:22948","19q13.42"
"OLA1","Approved symbol","OLA1","Obg like ATPase 1","HGNC:28833","2q31.1"
"NID2","Approved symbol","NID2","nidogen 2","HGNC:13389","14q22.1"
"EIF3J","Approved symbol","EIF3J","eukaryotic translation initiation factor 3 subunit J","HGNC:3270","15q21.1"
"KIF2A","Approved symbol","KIF2A","kinesin family member 2A","HGNC:6318","5q12.1"
"CLEC4G","Approved symbol","CLEC4G","C-type lectin domain family 4 member G","HGNC:24591","19p13.2"
"LCAT","Approved symbol","LCAT","lecithin-cholesterol acyltransferase","HGNC:6522","16q22.1"
"NT5C2","Approved symbol","NT5C2","5'-nucleotidase, cytosolic II","HGNC:8022","10q24.32-q24.33"
"KIT","Approved symbol","KIT","KIT proto-oncogene, receptor tyrosine kinase","HGNC:6342","4q12"
"CR2","Approved symbol","CR2","complement C3d receptor 2","HGNC:2336","1q32.2"
"PEF1","Approved symbol","PEF1","penta-EF-hand domain containing 1","HGNC:30009","1p35.2"
"CCNG1","Approved symbol","CCNG1","cyclin G1","HGNC:1592","5q34"
"CIRBP","Approved symbol","CIRBP","cold inducible RNA binding protein","HGNC:1982","19p13.3"
"WDR26","Approved symbol","WDR26","WD repeat domain 26","HGNC:21208","1q42.11-q42.12"
